Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-23,23100.25,23168.490234375,23000.4609375,23162.41015625,23162.41015625,10972770000,0.0,0.0
2025-07-24,23228.7890625,23268.490234375,23150.26953125,23219.869140625,23219.869140625,12741070000,0.0,0.0
2025-07-25,23204.66015625,23326.30078125,23193.990234375,23272.25,23272.25,11028310000,0.0,0.0
2025-07-28,23343.130859375,23386.759765625,23299.810546875,23356.26953125,23356.26953125,10612580000,0.0,0.0
2025-07-29,23477.83984375,23510.919921875,23283.400390625,23308.30078125,23308.30078125,10040610000,0.0,0.0
2025-07-30,23337.330078125,23447.150390625,23226.919921875,23345.41015625,23345.41015625,9311770000,0.0,0.0
2025-07-31,23589.369140625,23589.369140625,23176.119140625,23218.119140625,23218.119140625,9917220000,0.0,0.0
2025-08-01,22941.060546875,22972.470703125,22673.880859375,22763.310546875,22763.310546875,9667420000,0.0,0.0
2025-08-04,22986.76953125,23191.0390625,22973.599609375,23188.609375,23188.609375,7355970000,0.0,0.0
2025-08-05,23235.310546875,23286.05078125,23008.140625,23018.560546875,23018.560546875,7982940000,0.0,0.0
2025-08-06,23070.94921875,23330.490234375,23042.26953125,23315.0390625,23315.0390625,8580020000,0.0,0.0
2025-08-07,23483.419921875,23560.73046875,23225.720703125,23389.529296875,23389.529296875,8979190000,0.0,0.0
2025-08-08,23458.130859375,23619.240234375,23437.609375,23611.26953125,23611.26953125,8669200000,0.0,0.0
2025-08-11,23629.01953125,23698.0,23484.25,23526.630859375,23526.630859375,9099730000,0.0,0.0
2025-08-12,23651.609375,23849.5,23524.279296875,23839.19921875,23839.19921875,8382820000,0.0,0.0
2025-08-13,23935.060546875,23969.279296875,23789.119140625,23849.0390625,23849.0390625,8763080000,0.0,0.0
2025-08-14,23775.009765625,23908.259765625,23748.98046875,23832.439453125,23832.439453125,9110860000,0.0,0.0
2025-08-15,23809.0,23813.990234375,23651.2109375,23712.0703125,23712.0703125,8158830000,0.0,0.0
2025-08-18,23692.130859375,23733.5,23637.41015625,23713.759765625,23713.759765625,8260970000,0.0,0.0
2025-08-19,23689.01953125,23695.640625,23346.33984375,23384.76953125,23384.76953125,8461660000,0.0,0.0
2025-08-20,23343.41015625,23343.41015625,22959.69921875,23249.5703125,23249.5703125,7810310000,0.0,0.0
2025-08-21,23182.759765625,23264.26953125,23046.390625,23142.580078125,23142.580078125,6530580000,0.0,0.0
2025-08-22,23184.990234375,23575.359375,23140.0390625,23498.119140625,23498.119140625,9401300000,0.0,0.0
2025-08-25,23454.279296875,23546.44921875,23382.189453125,23425.609375,23425.609375,8443200000,0.0,0.0
2025-08-26,23420.849609375,23532.509765625,23369.0390625,23525.2890625,23525.2890625,9087930000,0.0,0.0
2025-08-27,23499.669921875,23591.05078125,23434.310546875,23565.849609375,23565.849609375,8040510000,0.0,0.0
2025-08-28,23601.349609375,23741.23046875,23514.69921875,23703.44921875,23703.44921875,7807080000,0.0,0.0
2025-08-29,23607.5390625,23607.5390625,23353.9609375,23415.419921875,23415.419921875,7715430000,0.0,0.0
2025-09-02,23020.470703125,23242.279296875,22977.880859375,23231.109375,23231.109375,8183410000,0.0,0.0
2025-09-03,23388.279296875,23478.009765625,23279.119140625,23414.83984375,23414.83984375,7488290000,0.0,0.0
2025-09-04,23442.189453125,23639.0390625,23371.330078125,23633.009765625,23633.009765625,7282150000,0.0,0.0
2025-09-05,23841.98046875,23860.25,23475.330078125,23652.439453125,23652.439453125,8413730000,0.0,0.0
2025-09-08,23759.619140625,23851.810546875,23725.0390625,23762.30078125,23762.30078125,8435850000,0.0,0.0
2025-09-09,23824.330078125,23852.419921875,23698.0,23839.80078125,23839.80078125,7877410000,0.0,0.0
2025-09-10,23931.3203125,23958.5390625,23760.099609375,23849.26953125,23849.26953125,9090550000,0.0,0.0
2025-09-11,23956.5703125,24016.529296875,23883.009765625,23992.560546875,23992.560546875,10025020000,0.0,0.0
2025-09-12,24030.76953125,24137.060546875,23983.630859375,24092.189453125,24092.189453125,9023140000,0.0,0.0
2025-09-15,24178.599609375,24297.33984375,24173.140625,24293.779296875,24293.779296875,8904030000,0.0,0.0
2025-09-16,24342.75,24343.349609375,24244.2109375,24274.25,24274.25,8592240000,0.0,0.0
2025-09-17,24286.4296875,24292.060546875,23999.75,24223.689453125,24223.689453125,9325980000,0.0,0.0
2025-09-18,24421.2109375,24554.51953125,24347.5390625,24454.890625,24454.890625,10478450000,0.0,0.0
2025-09-19,24528.439453125,24641.9296875,24469.279296875,24626.25,24626.25,14632360000,0.0,0.0
2025-09-22,24588.1796875,24781.73046875,24578.08984375,24761.0703125,24761.0703125,9736270000,0.0,0.0
2025-09-23,24752.740234375,24764.30078125,24536.5,24580.169921875,24580.169921875,9822620000,0.0,0.0
2025-09-24,24648.970703125,24650.419921875,24388.58984375,24503.5703125,24503.5703125,9184030000,0.0,0.0
2025-09-25,24321.73046875,24460.66015625,24186.369140625,24397.310546875,24397.310546875,9960330000,0.0,0.0
2025-09-26,24410.94921875,24510.369140625,24297.69921875,24503.849609375,24503.849609375,8488400000,0.0,0.0
2025-09-29,24629.01953125,24741.76953125,24560.220703125,24611.349609375,24611.349609375,9046720000,0.0,0.0
2025-09-30,24597.400390625,24691.23046875,24505.140625,24679.990234375,24679.990234375,8928070000,0.0,0.0
2025-10-01,24539.25,24816.669921875,24517.759765625,24800.859375,24800.859375,10043980000,0.0,0.0
2025-10-02,24933.490234375,24944.75,24780.109375,24892.759765625,24892.759765625,9633200000,0.0,0.0
2025-10-03,24931.419921875,24958.259765625,24713.580078125,24785.51953125,24785.51953125,10515730000,0.0,0.0
2025-10-06,24986.259765625,25044.259765625,24907.599609375,24978.560546875,24978.560546875,10468830000,0.0,0.0
2025-10-07,25031.779296875,25062.9609375,24783.94921875,24840.23046875,24840.23046875,10375920000,0.0,0.0
2025-10-08,24887.3203125,25142.189453125,24882.349609375,25136.619140625,25136.619140625,10925520000,0.0,0.0
2025-10-09,25124.7890625,25139.349609375,24966.810546875,25098.1796875,25098.1796875,10713200000,0.0,0.0
2025-10-10,25116.830078125,25195.279296875,24207.150390625,24221.740234375,24221.740234375,10713200000,0.0,0.0
2025-10-13,24625.740234375,24779.650390625,24540.419921875,24750.25,24750.25,9018770000,0.0,0.0
2025-10-14,24442.9296875,24766.369140625,24256.279296875,24579.3203125,24579.3203125,9776720000,0.0,0.0
2025-10-15,24807.33984375,24933.23046875,24496.0703125,24745.359375,24745.359375,11374850000,0.0,0.0
2025-10-16,24882.220703125,24998.30078125,24481.169921875,24657.240234375,24657.240234375,11343620000,0.0,0.0
2025-10-17,24600.55078125,24881.470703125,24511.58984375,24817.94921875,24817.94921875,9552150000,0.0,0.0
2025-10-20,24991.099609375,25183.810546875,24988.669921875,25141.01953125,25141.01953125,9440620000,0.0,0.0
2025-10-21,25139.80078125,25178.23046875,25043.060546875,25127.130859375,25127.130859375,10845130000,0.0,0.0
2025-10-22,25093.640625,25127.060546875,24652.109375,24879.009765625,24879.009765625,14361150000,0.0,0.0
2025-10-23,24869.599609375,25126.779296875,24856.33984375,25097.41015625,25097.41015625,10363600000,0.0,0.0
2025-10-24,25307.75,25418.640625,25288.7109375,25358.16015625,25358.16015625,10308620000,0.0,0.0
2025-10-27,25701.94921875,25839.029296875,25656.380859375,25821.55078125,25821.55078125,10757830000,0.0,0.0
2025-10-28,25932.640625,26087.48046875,25864.490234375,26012.150390625,26012.150390625,10640830000,0.0,0.0
2025-10-29,26147.720703125,26182.099609375,25907.44921875,26119.849609375,26119.849609375,10089540000,0.0,0.0
2025-10-30,25953.779296875,26031.6796875,25732.390625,25734.810546875,25734.810546875,10564160000,0.0,0.0
2025-10-31,26055.970703125,26063.490234375,25761.279296875,25858.130859375,25858.130859375,10909250000,0.0,0.0
2025-11-03,26114.109375,26132.869140625,25887.880859375,25972.939453125,25972.939453125,10360170000,0.0,0.0
2025-11-04,25580.33984375,25762.23046875,25415.619140625,25435.69921875,25435.69921875,10227700000,0.0,0.0
2025-11-05,25433.220703125,25750.880859375,25364.900390625,25620.029296875,25620.029296875,10026890000,0.0,0.0
2025-11-06,25568.240234375,25568.240234375,25083.240234375,25130.0390625,25130.0390625,11085130000,0.0,0.0
2025-11-07,24977.73046875,25065.140625,24603.779296875,25059.810546875,25059.810546875,10141910000,0.0,0.0
2025-11-10,25418.169921875,25655.509765625,25354.439453125,25611.740234375,25611.740234375,9297320000,0.0,0.0
2025-11-11,25500.9296875,25588.259765625,25380.859375,25533.490234375,25533.490234375,7756810000,0.0,0.0
2025-11-12,25662.189453125,25663.169921875,25389.73046875,25517.330078125,25517.330078125,8449920000,0.0,0.0
2025-11-13,25386.94921875,25396.009765625,24908.599609375,24993.4609375,24993.4609375,11351410000,0.0,0.0
2025-11-14,24658.55078125,25198.9296875,24534.900390625,25008.240234375,25008.240234375,10841540000,0.0,0.0
2025-11-17,24890.099609375,25166.150390625,24649.359375,24799.919921875,24799.919921875,9744800000,0.0,0.0
2025-11-18,24651.779296875,24735.119140625,24299.2890625,24503.099609375,24503.099609375,8606260000,0.0,0.0
2025-11-19,24517.26953125,24904.66015625,24432.189453125,24640.51953125,24640.51953125,8434200000,0.0,0.0
2025-11-20,25131.490234375,25222.94921875,24021.439453125,24054.380859375,24054.380859375,10548620000,0.0,0.0
2025-11-21,24137.66015625,24521.83984375,23854.029296875,24239.5703125,24239.5703125,9931240000,0.0,0.0
2025-11-24,24462.869140625,24923.58984375,24455.650390625,24873.849609375,24873.849609375,9232160000,0.0,0.0
2025-11-25,24790.0703125,25069.5390625,24542.7109375,25018.359375,25018.359375,8498500000,0.0,0.0
2025-11-26,25168.310546875,25309.150390625,25077.859375,25236.939453125,25236.939453125,7291400000,0.0,0.0
2025-11-28,25310.279296875,25435.76953125,25280.9609375,25434.890625,25434.890625,4541070000,0.0,0.0
2025-12-01,25232.75,25443.2109375,25158.630859375,25342.849609375,25342.849609375,7859560000,0.0,0.0
2025-12-02,25449.869140625,25622.580078125,25369.359375,25555.859375,25555.859375,7588580000,0.0,0.0
