Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-23,44661.12109375,45016.7109375,44638.44140625,45010.2890625,45010.2890625,446630000,0.0,0.0
2025-07-24,44776.41015625,44912.26953125,44674.5703125,44693.91015625,44693.91015625,453000000,0.0,0.0
2025-07-25,44757.28125,44944.4609375,44650.58984375,44901.921875,44901.921875,369500000,0.0,0.0
2025-07-28,44946.98046875,44946.98046875,44739.9609375,44837.55859375,44837.55859375,416510000,0.0,0.0
2025-07-29,44833.73828125,44883.66015625,44568.828125,44632.98828125,44632.98828125,488780000,0.0,0.0
2025-07-30,44677.8984375,44739.53125,44261.7109375,44461.28125,44461.28125,456840000,0.0,0.0
2025-07-31,44665.8203125,44665.8203125,44049.01171875,44130.98046875,44130.98046875,689040000,0.0,0.0
2025-08-01,43781.76953125,43781.76953125,43340.6796875,43588.578125,43588.578125,705150000,0.0,0.0
2025-08-04,43724.01953125,44188.359375,43724.01953125,44173.640625,44173.640625,514180000,0.0,0.0
2025-08-05,44200.0703125,44308.5,43923.80859375,44111.73828125,44111.73828125,455690000,0.0,0.0
2025-08-06,44196.609375,44290.08984375,44017.7109375,44193.12109375,44193.12109375,518970000,0.0,0.0
2025-08-07,44430.08984375,44498.4296875,43799.19921875,43968.640625,43968.640625,492480000,0.0,0.0
2025-08-08,44044.94921875,44272.75,44028.94140625,44175.609375,44175.609375,452500000,0.0,0.0
2025-08-11,44184.359375,44273.03125,43911.30859375,43975.08984375,43975.08984375,431510000,0.0,0.0
2025-08-12,44050.53125,44497.58984375,44050.53125,44458.609375,44458.609375,442850000,0.0,0.0
2025-08-13,44571.53125,44949.12109375,44571.53125,44922.26953125,44922.26953125,521430000,0.0,0.0
2025-08-14,44890.83984375,44948.69921875,44690.5,44911.26171875,44911.26171875,453530000,0.0,0.0
2025-08-15,45159.91015625,45203.51953125,44897.98046875,44946.12109375,44946.12109375,547270000,0.0,0.0
2025-08-18,44963.171875,44998.828125,44868.3203125,44911.8203125,44911.8203125,416460000,0.0,0.0
2025-08-19,44952.359375,45207.390625,44816.5,44922.26953125,44922.26953125,466010000,0.0,0.0
2025-08-20,44922.69921875,45033.75,44767.96875,44938.30859375,44938.30859375,512550000,0.0,0.0
2025-08-21,44808.2109375,44892.609375,44579.03125,44785.5,44785.5,407540000,0.0,0.0
2025-08-22,44952.87890625,45757.83984375,44952.87890625,45631.73828125,45631.73828125,484720000,0.0,0.0
2025-08-25,45605.25,45605.25,45273.08984375,45282.46875,45282.46875,393960000,0.0,0.0
2025-08-26,45236.828125,45437.62109375,45192.2890625,45418.0703125,45418.0703125,490980000,0.0,0.0
2025-08-27,45417.4609375,45621.078125,45372.78125,45565.23046875,45565.23046875,430980000,0.0,0.0
2025-08-28,45581.03125,45682.828125,45442.6796875,45636.8984375,45636.8984375,540880000,0.0,0.0
